Имя объекта;Тип объекта;Синоним;Файл
Документ.НачисленияПоКредитамИЗаймам;Документ;Нарахування за кредитами і позиками;Документ_НачисленияПоКредитамИЗаймам.md
Документ.Операция;Документ;Операція;Документ_Операция.md
Документ.ОперацияПоПлатежнымКартам;Документ;Операція з платіжними картками;Документ_ОперацияПоПлатежнымКартам.md
Документ.ОприходованиеЗапасов;Документ;Оприбуткування запасів;Документ_ОприходованиеЗапасов.md
Документ.ОтчетКомиссионера;Документ;Звіт комісіонера;Документ_ОтчетКомиссионера.md
Документ.ОтчетКомиссионераОСписании;Документ;Звіт комісіонера про списання;Документ_ОтчетКомиссионераОСписании.md
Документ.ОтчетКомитенту;Документ;Звіт комітенту (принципалу);Документ_ОтчетКомитенту.md
Документ.ОтчетОПереработке;Документ;Звіт про переробку;Документ_ОтчетОПереработке.md
Документ.ОтчетОРозничныхПродажах;Документ;Звіт про роздрібні продажі;Документ_ОтчетОРозничныхПродажах.md
Документ.ОтчетПереработчика;Документ;Звіт переробника;Документ_ОтчетПереработчика.md
Документ.ПередачаВА;Документ;Продаж майна;Документ_ПередачаВА.md
Документ.ПередачаТоваровМеждуОрганизациями;Документ;Передача товарів між організаціями;Документ_ПередачаТоваровМеждуОрганизациями.md
Документ.ПеремещениеДС;Документ;Переміщення коштів;Документ_ПеремещениеДС.md
Документ.ПеремещениеДСПлан;Документ;Переміщення коштів (план);Документ_ПеремещениеДСПлан.md
Документ.ПеремещениеЗапасов;Документ;Переміщення запасів;Документ_ПеремещениеЗапасов.md
Документ.ПеремещениеПоЯчейкам;Документ;Переміщення між комірками;Документ_ПеремещениеПоЯчейкам.md
Документ.ПереоценкаВРозницеСуммовойУчет;Документ;Переоцінка в роздробі (сумовий облік);Документ_ПереоценкаВРозницеСуммовойУчет.md
Документ.ПереоценкаТоваровНаКомиссии;Документ;Переоцінка товарів на комісії;Документ_ПереоценкаТоваровНаКомиссии.md
Документ.ПересортицаЗапасов;Документ;Пересортиця запасів;Документ_ПересортицаЗапасов.md
Документ.ПланПродаж;Документ;План продажів;Документ_ПланПродаж.md
Документ.ПлатежнаяВедомость;Документ;Платіжна відомість;Документ_ПлатежнаяВедомость.md
Документ.ПлатежноеПоручение;Документ;Платіжне доручення;Документ_ПлатежноеПоручение.md
Документ.ПоложениеОПремировании;Документ;Положення про преміювання;Документ_ПоложениеОПремировании.md
Документ.ПоступлениеВКассу;Документ;Надходження в касу;Документ_ПоступлениеВКассу.md
Документ.ПоступлениеДСПлан;Документ;Надходження коштів (план);Документ_ПоступлениеДСПлан.md
Документ.ПоступлениеНаСчет;Документ;Надходження на рахунок;Документ_ПоступлениеНаСчет.md
Документ.ПриемИПередачаВРемонт;Документ;Прийом і передача в ремонт;Документ_ПриемИПередачаВРемонт.md
Документ.ПриемНаРаботу;Документ;Прийом на роботу;Документ_ПриемНаРаботу.md
Документ.Приложение1КНалоговойНакладной;Документ;Додаток 1 до податкової накладної;Документ_Приложение1КНалоговойНакладной.md
Документ.Приложение2КНалоговойНакладной;Документ;Додаток 2 до податкової накладної;Документ_Приложение2КНалоговойНакладной.md
Документ.ПринятиеКУчетуВА;Документ;Прийняття до обліку;Документ_ПринятиеКУчетуВА.md
Документ.ПриходнаяНакладная;Документ;Прибуткова накладна;Документ_ПриходнаяНакладная.md
Документ.ПриходныйОрдер;Документ;Прибутковий ордер;Документ_ПриходныйОрдер.md
Документ.ПрочиеРасходы;Документ;Інші витрати;Документ_ПрочиеРасходы.md
Документ.РаспределениеЗатрат;Документ;Розподіл витрат;Документ_РаспределениеЗатрат.md
Документ.РасходДСПлан;Документ;Заявка на витрату коштів;Документ_РасходДСПлан.md
Документ.РасходИзКассы;Документ;Витрата з каси;Документ_РасходИзКассы.md
Документ.РасходнаяНакладная;Документ;Видаткова накладна;Документ_РасходнаяНакладная.md
Документ.РасходныйОрдер;Документ;Видатковий ордер;Документ_РасходныйОрдер.md
Документ.РасходСоСчета;Документ;Витрата з рахунку;Документ_РасходСоСчета.md
Документ.РасходыПриИмпорте;Документ;Витрати при імпорті;Документ_РасходыПриИмпорте.md
Документ.РегистрацияВходящегоНалоговогоДокумента;Документ;Реєстрація вхідного податкового документа;Документ_РегистрацияВходящегоНалоговогоДокумента.md
Документ.РегламентированныйОтчет;Документ;Регламентований звіт;Документ_РегламентированныйОтчет.md
Документ.РезервированиеЗапасов;Документ;Резервування запасів;Документ_РезервированиеЗапасов.md
Документ.СборкаЗапасов;Документ;Виробництво;Документ_СборкаЗапасов.md
Документ.СверкаВзаиморасчетов;Документ;Звірка взаєморозрахунків;Документ_СверкаВзаиморасчетов.md
Документ.СдельныйНаряд;Документ;Відрядний наряд;Документ_СдельныйНаряд.md
Документ.Событие;Документ;Подія;Документ_Событие.md
Документ.СписаниеВА;Документ;Списання майна;Документ_СписаниеВА.md
Документ.СписаниеЗапасов;Документ;Списання запасів;Документ_СписаниеЗапасов.md
Документ.СписаниеПроданныхПодарочныхСертификатов;Документ;Списання проданих сертифікатів;Документ_СписаниеПроданныхПодарочныхСертификатов.md
Документ.СчетНаОплату;Документ;Рахунок на оплату;Документ_СчетНаОплату.md
Документ.СчетНаОплатуПоставщика;Документ;Рахунок на оплату (отриманий);Документ_СчетНаОплатуПоставщика.md
Документ.Табель;Документ;Табель;Документ_Табель.md
Документ.Увольнение;Документ;Звільнення;Документ_Увольнение.md
Документ.УстановкаЦенНоменклатуры;Документ;Установка цін;Документ_УстановкаЦенНоменклатуры.md
Документ.УчетВремени;Документ;Облік часу;Документ_УчетВремени.md
Документ.ЧекККМ;Документ;Чек ККМ;Документ_ЧекККМ.md
Документ.ЧекККМВозврат;Документ;Чек ККМ на повернення;Документ_ЧекККМВозврат.md
РегистрСведений.АвтоНумерацияДоговоровКонтрагента;РегистрСведений;Автонумерація договорів контрагента;РегистрСведений_АвтоНумерацияДоговоровКонтрагента.md
РегистрСведений.АвторизацияВСервисе1СФреш;РегистрСведений;Авторизація у сервісі Фреш;РегистрСведений_АвторизацияВСервисе1СФреш.md
РегистрСведений.АналогиНоменклатуры;РегистрСведений;Аналоги номенклатури;РегистрСведений_АналогиНоменклатуры.md
РегистрСведений.БезопасноеХранилищеДанных;РегистрСведений;Безпечне сховище даних;РегистрСведений_БезопасноеХранилищеДанных.md
РегистрСведений.БезопасноеХранилищеДанныхОбластейДанных;РегистрСведений;Безпечне сховище даних областей даних;РегистрСведений_БезопасноеХранилищеДанныхОбластейДанных.md
РегистрСведений.БлокировкиСеансовОбластейДанных;РегистрСведений;Блокування сеансів областей даних;РегистрСведений_БлокировкиСеансовОбластейДанных.md
РегистрСведений.БонусныеБаллыКСписанию;РегистрСведений;Бонусні бали до списання;РегистрСведений_БонусныеБаллыКСписанию.md
РегистрСведений.БуферОперацийСтатистики;РегистрСведений;Буфер операцій статистики;РегистрСведений_БуферОперацийСтатистики.md
РегистрСведений.ВерсииОбъектов;РегистрСведений;Версії об`єктів;РегистрСведений_ВерсииОбъектов.md
РегистрСведений.ВерсииПодсистем;РегистрСведений;Версії підсистем;РегистрСведений_ВерсииПодсистем.md
РегистрСведений.ВерсииПодсистемОбластейДанных;РегистрСведений;Версії підсистем областей даних;РегистрСведений_ВерсииПодсистемОбластейДанных.md
РегистрСведений.ВесИОбъемЕдиницТоваров;РегистрСведений;Вага і обсяг одиниць товарів;РегистрСведений_ВесИОбъемЕдиницТоваров.md
